busto,cintura,quadril,altura,ombro,medida correta
96.59,78.49,103.97,169.47,30.89,M
97.02,75.95,103.06,158.14,39.45,M
98.24,75.88,101.12,159.4,34.44,M
104.85,85.48,112.99,151.5,37.65,G
75.79,57.96,80.31,154.1,36.41,PP
94.76,75.76,105.26,179.34,33.49,M
78.07,56.88,82.73,161.92,35.36,PP
119.12,99.63,120.23,168.25,37.93,GG
86.74,70.33,93.31,161.38,33.6,P
95.42,80.84,100.36,175.65,31.9,M
84.23,69.92,92.36,176.08,33.3,P
109.03,90.76,112.29,153.11,33.61,G
115.49,97.77,122.3,172.3,37.61,GG
115.0,97.92,123.09,152.97,33.68,GG
86.06,67.6,90.4,177.05,39.03,P
76.91,57.61,82.82,158.76,39.1,PP
95.03,80.87,100.06,172.9,37.28,M
116.18,97.6,120.73,169.55,32.57,GG
89.63,65.26,94.47,160.23,30.89,P
114.68,96.05,122.8,154.47,33.67,GG
114.25,97.62,122.32,168.82,31.9,GG
86.33,70.29,95.74,159.52,32.82,P
116.93,98.56,120.79,151.91,38.71,GG
116.12,95.67,121.02,174.35,32.83,GG
75.48,56.02,81.42,153.47,39.78,PP
98.84,76.88,103.66,160.4,32.22,M
106.18,87.36,110.38,157.28,36.18,G
115.85,98.6,121.93,169.74,35.96,GG
104.88,88.89,114.54,178.24,30.28,G
119.44,95.91,121.21,165.6,36.75,GG
96.92,75.71,100.42,162.12,38.39,M
74.21,59.36,84.47,179.31,33.98,PP
116.92,97.23,120.31,155.99,32.57,GG
76.36,57.88,81.25,166.17,39.99,PP
86.86,70.65,92.86,160.65,36.57,P
99.49,77.9,104.89,169.02,35.54,M
97.21,78.23,101.6,163.5,31.41,M
87.58,70.4,93.29,164.37,35.58,P
84.95,69.92,90.51,173.07,32.75,P
108.03,88.56,111.52,157.52,33.24,G
116.61,100.54,123.29,160.33,39.0,GG
95.67,78.92,102.27,153.44,35.53,M
109.34,90.9,115.84,152.26,35.18,G
89.66,70.05,92.76,166.32,30.48,P
75.22,57.31,84.83,158.84,32.18,PP
115.33,97.57,125.72,168.08,39.38,GG
85.59,68.75,94.16,160.42,33.96,P
89.04,68.49,92.11,165.01,30.64,P
77.51,57.04,84.42,152.17,32.22,PP
96.07,80.28,102.91,152.67,33.49,M
115.88,100.73,122.18,153.5,31.27,GG
85.45,69.35,92.66,176.56,34.21,P
86.0,66.85,90.17,165.16,36.46,P
107.34,90.62,113.82,178.34,39.42,G
78.18,57.45,85.46,176.89,32.41,PP
88.55,66.51,94.46,170.75,31.33,P
106.2,89.04,114.69,169.11,34.22,G
114.57,97.18,122.12,159.24,38.36,GG
86.02,66.27,93.11,159.1,35.68,P
97.25,80.76,103.83,166.45,34.31,M
94.13,78.78,101.28,163.68,36.15,M
75.21,60.45,80.97,151.33,32.51,PP
86.54,67.61,94.07,174.06,38.62,P
107.06,88.9,113.03,162.33,33.5,G
116.99,100.86,125.89,163.27,34.14,GG
105.63,85.96,110.18,160.26,30.66,G
98.03,76.98,103.17,170.75,36.14,M
88.27,66.31,91.17,175.41,37.74,P
118.73,97.97,121.75,171.58,38.74,GG
77.06,58.59,83.89,163.02,38.52,PP
76.17,57.69,85.16,175.97,31.92,PP
106.79,88.7,114.09,161.63,31.34,G
74.28,60.48,84.35,151.43,39.44,PP
107.66,88.97,113.53,167.04,38.31,G
96.39,76.35,105.77,159.45,35.38,M
115.75,98.42,123.04,158.52,36.26,GG
94.3,75.86,102.69,156.38,38.4,M
115.36,97.09,124.15,163.08,38.93,GG
106.44,89.12,110.1,165.86,32.88,G
88.07,70.37,92.16,176.44,39.38,P
79.83,59.57,80.51,172.84,32.53,PP
115.35,96.48,122.59,159.78,30.14,GG
105.01,85.95,111.01,172.0,36.75,G
84.26,65.57,92.99,164.01,34.87,P
105.22,86.02,115.5,165.99,32.91,G
117.16,100.17,122.88,159.01,37.2,GG
97.68,79.94,102.51,158.42,37.27,M
79.24,60.04,84.98,162.28,32.56,PP
108.17,88.08,110.95,153.25,39.02,G
86.59,70.68,92.6,174.54,33.81,P
108.63,87.2,113.42,164.37,39.2,G
88.63,70.37,95.83,161.16,32.42,P
109.54,87.42,112.47,179.17,30.89,G
86.25,65.59,91.55,162.62,36.25,P
106.69,88.32,111.72,166.48,39.21,G
109.61,86.41,114.65,155.94,37.15,G
109.79,87.8,115.19,156.59,38.82,G
98.91,75.64,101.1,156.84,35.15,M
95.76,79.84,102.69,177.69,31.67,M
84.18,69.26,90.36,166.93,35.24,P
105.46,88.67,115.5,174.79,31.19,G
88.56,67.33,94.49,162.97,34.86,P
109.67,90.6,112.11,176.76,31.86,G
87.32,70.92,91.91,150.53,36.48,P
95.31,77.88,104.6,157.88,33.45,M
97.86,75.51,102.98,168.75,35.21,M
108.59,89.41,114.11,158.29,34.47,G
97.57,79.27,102.88,161.05,37.58,M
118.03,98.23,120.36,155.8,33.92,GG
118.98,95.91,121.7,161.91,34.61,GG
74.78,58.29,82.89,155.86,35.51,PP
78.95,56.05,85.84,177.44,34.07,PP
79.54,58.85,85.94,162.49,36.75,PP
74.58,57.18,80.61,167.92,37.49,PP
108.95,88.65,114.04,155.01,32.75,G
117.93,100.31,120.77,178.6,32.34,GG
87.55,70.68,95.86,164.52,38.95,P
97.35,78.04,101.04,173.33,35.02,M
77.6,59.54,80.29,167.19,35.33,PP
106.16,90.58,111.42,176.97,31.02,G
74.25,57.22,83.82,170.67,39.14,PP
79.25,60.25,84.58,166.09,39.74,PP
116.71,99.39,125.68,160.82,35.44,GG
117.31,97.98,124.99,179.33,33.55,GG
106.74,88.31,115.32,173.45,38.12,G
109.62,88.31,114.62,177.01,32.44,G
86.52,70.92,94.78,162.04,34.92,P
77.54,59.05,83.67,176.64,33.92,PP
116.14,98.28,124.85,151.99,38.31,GG
98.96,76.62,105.81,156.71,39.38,M
79.29,60.24,82.6,167.18,31.59,PP
84.26,66.9,95.72,161.16,35.45,P
95.32,76.66,101.23,155.24,38.64,M
94.29,78.28,102.87,171.78,37.95,M
105.76,85.61,114.24,156.09,39.3,G
87.65,68.31,91.72,166.57,30.79,P
85.23,66.07,91.54,150.87,32.6,P
78.74,56.44,83.71,166.06,38.31,PP
87.26,68.72,91.05,161.95,36.89,P
74.74,58.5,83.41,177.18,38.65,PP
79.11,58.36,84.47,173.45,31.91,PP
75.35,55.16,82.15,160.83,37.11,PP
84.84,67.67,95.77,153.59,31.49,P
117.77,100.85,122.71,154.17,39.37,GG
87.33,70.32,95.37,171.43,39.59,P
106.01,86.43,113.26,150.22,36.83,G
84.02,66.93,91.78,164.02,37.01,P
79.32,55.04,85.01,172.59,32.44,PP
85.88,66.48,92.78,177.78,34.83,P
98.97,75.28,103.72,152.8,31.37,M
108.9,90.84,110.34,167.91,38.33,G
88.27,67.25,92.62,167.68,37.77,P
106.29,90.56,115.75,178.85,33.57,G
115.18,99.2,124.28,158.91,39.57,GG
117.9,96.35,123.76,165.3,37.01,GG
114.34,98.2,123.56,165.11,35.69,GG
87.77,67.07,94.64,168.12,36.59,P
109.67,90.12,115.09,153.63,32.29,G
109.73,90.7,115.44,173.2,38.99,G
94.49,77.09,101.48,168.29,33.56,M
87.03,70.07,90.54,161.9,31.36,P
85.04,70.33,90.84,155.58,37.31,P
118.37,96.73,120.91,154.2,35.7,GG
119.62,95.33,122.44,177.16,35.02,GG
75.54,57.95,82.95,162.23,33.42,PP
117.22,97.56,125.07,167.06,37.61,GG
89.9,66.56,92.82,176.37,32.35,P
89.4,68.17,92.03,156.66,38.37,P
99.51,77.84,101.64,166.17,32.07,M
114.41,98.92,123.13,158.55,35.59,GG
74.78,59.36,85.44,173.81,31.81,PP
88.64,65.68,90.74,177.02,30.59,P
104.43,88.42,111.5,172.09,30.32,G
77.56,59.43,83.94,150.25,32.12,PP
78.6,60.62,84.77,179.63,37.61,PP
106.76,90.33,110.78,156.57,31.49,G
79.0,60.26,80.55,151.55,33.2,PP
79.5,60.92,80.26,162.18,32.14,PP
119.2,98.74,125.56,153.42,30.95,GG
75.91,58.82,81.74,155.76,37.36,PP
119.94,100.69,123.12,166.31,36.55,GG
105.76,87.94,112.67,161.81,30.22,G
84.5,65.48,92.26,176.27,35.53,P
114.16,99.2,125.06,166.51,32.73,GG
117.26,95.32,123.86,176.44,32.32,GG
117.77,95.72,123.86,153.59,31.54,GG
97.24,79.62,105.29,150.54,31.51,M
109.9,87.8,114.51,155.94,30.55,G
79.54,58.21,80.79,176.25,30.15,PP
95.99,80.22,104.47,159.85,36.04,M
118.74,100.1,124.85,170.15,34.46,GG
116.77,99.42,122.89,166.62,32.42,GG
107.13,85.64,115.5,178.45,38.46,G
109.59,88.73,112.47,160.44,39.73,G
96.1,80.92,105.14,161.72,36.01,M
104.83,85.82,112.91,175.01,32.31,G
95.24,75.9,103.11,165.7,36.71,M
106.39,87.73,115.75,170.91,34.79,G
84.72,66.26,95.9,157.37,31.69,P
85.88,67.57,90.52,168.4,39.01,P
74.68,59.96,83.71,168.99,39.2,PP
87.21,69.7,90.04,163.12,30.11,P
84.47,65.9,91.86,155.59,36.86,P
96.5,78.49,100.49,178.48,36.52,M
109.85,88.97,110.29,174.83,38.25,G
75.27,57.71,82.36,178.75,31.27,PP
75.55,55.21,80.05,168.98,34.56,PP
87.12,67.19,91.2,169.73,31.73,P
96.72,80.24,101.07,179.88,39.85,M
94.62,76.13,104.72,172.44,30.19,M
98.52,78.33,102.75,169.7,35.93,M
117.72,99.48,122.18,174.09,37.4,GG
79.2,57.76,84.62,178.28,34.2,PP
116.45,95.14,124.3,169.56,36.39,GG
118.24,100.65,120.51,179.57,31.14,GG
119.66,99.49,124.04,178.37,37.94,GG
75.43,55.91,80.77,150.2,36.5,PP
108.57,86.35,115.8,158.24,35.4,G
119.42,97.65,124.3,155.82,36.01,GG
114.01,96.29,120.21,158.18,34.92,GG
109.81,88.54,114.69,158.61,34.13,G
109.35,86.34,110.75,177.51,34.04,G
97.54,80.91,105.62,174.36,30.35,M
86.07,69.06,92.45,153.32,36.35,P
89.39,65.48,95.38,178.26,31.05,P
84.83,66.81,91.25,157.29,39.02,P
118.05,95.06,123.93,176.9,30.81,GG
107.76,85.01,115.01,154.27,35.22,G
77.48,59.86,82.08,167.18,37.76,PP
119.02,96.24,123.7,167.89,33.41,GG
118.09,100.12,123.92,169.73,30.52,GG
78.48,56.26,83.45,166.86,32.83,PP
74.12,59.11,83.0,153.94,39.4,PP
98.29,78.27,102.34,167.74,34.9,M
95.36,76.62,100.48,165.96,37.25,M
86.06,70.87,95.41,158.92,36.86,P
77.04,56.28,83.2,157.53,31.02,PP
118.67,99.18,123.06,167.51,35.2,GG
114.08,98.88,121.73,150.25,31.12,GG
97.44,78.98,102.55,172.91,34.14,M
117.19,100.13,124.78,161.04,37.99,GG
117.06,98.28,124.15,151.31,32.29,GG
96.68,78.85,103.61,157.43,37.29,M
79.01,59.17,85.13,154.03,32.29,PP
97.31,76.19,105.99,153.24,31.89,M
109.21,90.34,115.67,164.01,35.19,G
89.82,65.73,92.9,172.13,39.16,P
77.74,59.3,82.17,162.46,35.42,PP
116.45,96.55,121.14,166.96,35.56,GG
107.77,87.33,110.59,150.38,39.56,G
95.41,75.47,102.36,175.93,33.27,M
107.89,89.29,111.25,175.36,32.49,G
89.95,65.58,94.35,157.2,31.21,P
94.68,78.52,100.14,154.43,30.39,M
97.39,76.81,105.57,177.71,38.38,M
97.84,77.13,104.24,169.29,31.85,M
94.33,79.13,102.72,173.34,31.26,M
106.96,85.41,114.43,168.0,39.03,G
115.64,96.66,123.87,161.72,37.04,GG
75.37,55.2,81.94,153.42,36.55,PP
109.71,88.22,111.21,179.15,39.25,G
98.67,76.17,103.29,174.91,34.32,M
76.99,58.48,85.83,153.86,38.01,PP
94.93,76.77,105.07,175.35,35.57,M
97.56,80.75,103.92,162.18,31.38,M
105.74,89.85,114.14,176.19,31.64,G
75.61,55.87,84.84,152.57,38.26,PP
75.67,58.77,84.91,173.35,38.36,PP
118.05,99.97,123.59,150.07,34.99,GG
105.19,89.29,110.79,156.25,38.01,G
78.69,59.29,83.68,172.03,37.42,PP
75.1,60.74,83.38,153.22,31.11,PP
115.52,96.47,121.71,167.19,31.15,GG
118.11,97.83,124.89,169.97,33.58,GG
88.57,69.39,93.64,172.88,31.26,P
116.33,96.59,121.11,178.91,38.41,GG
99.9,80.47,103.16,150.8,37.75,M
95.77,76.06,101.21,172.29,34.2,M
95.82,80.9,100.48,175.67,37.01,M
115.96,95.31,122.17,161.02,38.69,GG
119.06,97.79,125.01,163.36,32.25,GG
105.12,88.62,110.74,155.36,35.72,G
88.84,68.5,90.75,179.68,34.42,P
97.41,78.69,104.22,178.07,38.89,M
104.89,87.29,112.8,155.01,35.23,G
76.95,59.73,82.06,151.45,30.85,PP
94.67,76.06,105.95,175.43,39.0,M
109.01,87.34,113.14,166.65,30.53,G
115.59,99.15,123.01,166.14,30.61,GG
107.72,87.87,112.45,172.04,32.18,G
97.7,77.79,100.14,166.51,39.15,M
74.11,57.67,82.49,177.51,32.01,PP
108.41,87.88,111.61,168.56,39.28,G
108.17,88.04,115.12,178.63,32.06,G
96.1,75.11,101.27,165.31,37.63,M
105.72,85.32,110.54,154.41,38.14,G
118.65,96.64,123.3,178.89,32.77,GG
99.86,77.59,101.9,154.82,38.93,M
99.55,79.74,102.18,152.46,35.25,M
75.76,59.58,85.3,178.13,36.61,PP
104.4,90.1,113.71,162.9,32.34,G
115.08,97.08,124.79,160.37,31.94,GG
78.38,56.73,83.67,179.65,34.1,PP
109.54,89.5,114.04,173.8,30.21,G
104.2,90.99,112.14,154.45,38.21,G
105.68,88.33,111.37,161.17,38.32,G
94.01,77.81,104.95,169.37,30.96,M
86.33,70.9,91.36,156.05,30.29,P
97.79,79.77,105.92,150.64,37.01,M
119.26,99.22,122.75,154.56,33.94,GG
86.31,67.51,92.72,150.55,39.62,P
107.76,89.36,111.95,169.22,38.19,G
77.69,59.97,84.51,167.44,39.71,PP
107.2,88.65,111.98,154.41,31.2,G
76.11,56.59,82.35,150.35,35.65,PP
107.65,89.18,115.02,174.27,34.55,G
76.07,57.24,80.57,155.82,37.15,PP
85.03,69.56,92.57,158.56,37.49,P
94.36,76.14,101.33,158.61,33.64,M
118.02,96.84,124.82,171.57,38.87,GG
118.99,96.02,121.8,152.16,39.15,GG
78.1,56.13,82.42,160.59,36.38,PP
106.85,89.62,114.55,151.64,33.78,G
108.82,85.39,114.65,161.39,37.47,G
89.29,67.04,91.07,163.42,32.08,P
109.76,86.92,115.28,179.07,35.77,G
118.47,95.34,122.99,168.06,31.68,GG
85.58,68.93,90.96,164.64,38.88,P
86.17,70.14,93.95,158.9,36.38,P
118.02,99.35,123.74,175.96,35.74,GG
106.13,87.77,113.27,179.21,37.85,G
79.67,57.2,83.11,163.33,35.42,PP
86.21,68.06,91.75,151.5,35.29,P
106.83,87.77,114.55,151.85,34.93,G
75.54,60.3,80.44,178.34,36.84,PP
75.89,58.73,85.16,159.81,31.12,PP
96.42,76.82,105.25,168.23,38.72,M
117.52,99.44,121.57,155.36,39.83,GG
88.51,68.53,95.21,171.11,37.88,P
96.55,78.79,104.94,155.59,31.07,M
78.08,59.98,84.14,166.99,38.9,PP
118.87,95.47,124.92,171.91,32.65,GG
78.91,60.34,80.1,176.52,36.45,PP
116.32,96.18,124.22,165.65,38.15,GG
116.17,98.87,120.42,172.97,36.95,GG
79.87,55.65,83.54,163.93,31.25,PP
105.12,88.26,115.81,172.17,34.02,G
116.93,95.17,121.66,178.8,32.35,GG
108.15,85.09,114.56,165.7,37.01,G
97.09,79.54,104.0,175.73,34.13,M
75.76,60.45,81.45,171.59,38.61,PP
86.58,66.47,91.68,161.41,35.16,P
75.99,56.84,85.45,168.32,39.22,PP
96.54,75.35,105.07,164.32,31.84,M
95.25,75.87,102.93,154.36,30.17,M
89.21,66.27,90.65,166.11,39.23,P
99.73,79.61,104.89,179.24,30.99,M
76.31,59.67,81.45,156.07,31.81,PP
118.64,95.46,125.45,177.92,36.0,GG
105.85,85.51,111.31,162.41,36.08,G
109.24,89.0,115.83,176.27,30.58,G
99.66,78.48,100.62,161.32,35.22,M
88.88,70.99,95.0,150.5,30.97,P
107.6,90.62,111.72,158.51,36.98,G
95.79,79.98,100.72,161.22,30.82,M
119.73,100.27,122.86,163.28,39.94,GG
77.3,60.58,85.76,167.29,30.38,PP
118.09,97.92,120.32,160.44,31.74,GG
84.41,65.55,91.37,160.15,35.78,P
116.26,98.71,121.47,173.47,34.15,GG
108.36,89.14,111.72,161.27,30.69,G
99.23,76.95,103.04,171.11,30.26,M
99.42,80.79,105.7,177.19,38.91,M
96.96,75.92,105.04,154.86,37.0,M
106.93,85.09,110.93,169.24,31.12,G
89.82,68.68,95.04,165.36,35.46,P
95.81,80.07,100.84,166.25,32.07,M
97.61,75.91,102.26,162.75,30.45,M
115.79,95.1,124.43,156.42,38.43,GG
95.68,79.71,102.64,164.75,34.12,M
107.29,88.54,114.43,173.38,31.96,G
77.32,57.54,81.74,153.04,39.66,PP
87.34,68.85,90.48,159.8,32.68,P
115.8,97.46,120.26,158.16,33.2,GG
104.22,86.47,114.14,171.61,35.08,G
88.36,66.73,93.41,153.06,31.26,P
79.44,56.12,83.22,160.37,38.96,PP
76.08,60.04,81.28,163.99,33.56,PP
77.59,56.41,83.3,160.92,35.92,PP
98.92,76.83,102.08,175.13,35.8,M
76.64,56.26,85.0,179.37,30.18,PP
78.31,59.56,85.35,175.37,34.49,PP
79.06,55.33,83.54,155.94,36.84,PP
74.18,60.95,84.11,154.74,33.67,PP
115.06,100.88,122.76,158.41,34.4,GG
117.72,97.1,121.5,172.57,34.57,GG
79.02,56.5,85.93,165.46,31.37,PP
86.41,65.5,90.49,169.64,32.79,P
87.8,65.52,95.9,153.3,39.18,P
74.48,57.17,80.13,158.51,35.86,PP
98.23,79.61,100.69,175.43,34.89,M
117.82,98.88,124.07,156.8,30.78,GG
106.32,88.21,115.27,155.33,38.05,G
96.21,75.36,102.98,176.86,37.91,M
74.99,59.6,80.68,155.7,34.01,PP
77.32,56.57,82.79,179.57,36.76,PP
104.32,90.06,112.89,175.66,35.38,G
77.79,59.27,84.11,156.06,30.95,PP
106.71,90.26,113.66,159.81,35.16,G
79.92,60.03,80.1,171.08,37.65,PP
109.09,87.81,115.26,159.04,35.6,G
79.65,55.59,80.32,179.12,38.69,PP
98.57,76.36,100.11,162.29,36.19,M
95.8,80.7,103.5,179.91,35.14,M
94.9,76.99,103.16,166.64,39.64,M
78.82,60.43,84.56,179.83,39.29,PP
76.78,56.88,81.66,152.36,36.51,PP
78.24,56.25,83.62,160.96,30.68,PP
76.2,55.78,81.98,156.47,31.23,PP
117.74,100.38,122.25,156.82,31.26,GG
88.17,69.01,95.57,179.55,31.21,P
94.47,76.94,101.98,160.53,39.69,M
77.33,58.79,80.03,178.33,32.9,PP
89.29,67.7,93.31,165.87,32.72,P
79.59,58.66,82.41,163.62,35.31,PP
84.33,70.9,95.23,153.0,33.4,P
98.34,78.64,100.05,178.86,34.11,M
79.77,58.4,82.15,170.31,35.84,PP
116.19,98.65,120.89,152.26,30.36,GG
88.3,67.01,94.78,158.8,39.14,P
119.75,97.34,120.3,174.57,35.27,GG
84.14,70.07,95.26,175.77,38.07,P
115.69,99.18,121.85,167.11,35.43,GG
118.75,99.6,121.46,164.54,33.62,GG
88.5,66.85,91.14,150.51,33.21,P
79.51,57.71,84.84,154.89,35.58,PP
107.89,90.58,112.14,179.53,38.63,G
105.82,86.31,110.61,178.87,30.25,G
87.54,70.62,90.59,179.44,39.61,P
99.55,76.51,105.25,153.21,30.6,M
94.09,76.52,103.2,174.92,36.85,M
75.13,55.19,85.78,159.53,32.5,PP
77.16,58.33,82.81,153.79,32.36,PP
97.9,79.89,104.1,159.03,34.15,M
98.3,79.81,103.16,160.37,35.2,M
108.72,87.92,110.57,157.31,34.31,G
95.56,77.14,100.92,167.6,35.88,M
106.01,90.7,112.46,178.29,39.45,G
117.21,97.54,120.95,179.99,33.69,GG
106.33,87.59,115.46,152.55,37.34,G
109.95,90.26,115.54,161.67,34.25,G
97.8,76.55,100.43,151.94,35.03,M
97.38,78.55,102.2,154.98,32.47,M
114.79,99.23,121.22,175.33,33.48,GG
97.54,79.03,101.52,153.69,38.32,M
105.36,88.52,112.57,179.62,38.62,G
107.81,90.61,115.59,157.0,33.81,G
96.1,79.82,100.36,156.48,37.97,M
115.01,100.4,121.34,163.77,39.99,GG
95.48,80.01,103.79,169.53,36.98,M
116.91,100.61,122.66,172.13,31.39,GG
79.44,59.17,81.7,152.51,36.49,PP
78.79,57.61,84.1,168.72,30.43,PP
87.68,65.22,91.98,154.26,37.2,P
87.89,65.4,94.66,151.94,31.53,P
88.87,70.33,93.34,152.6,30.47,P
106.43,87.76,112.63,173.02,32.45,G
116.32,99.57,122.07,168.54,34.53,GG
88.2,66.89,91.11,151.11,32.1,P
117.52,99.26,120.15,152.25,35.86,GG
88.63,70.72,93.46,167.4,36.44,P
119.85,96.48,123.18,157.35,31.6,GG
96.75,79.83,101.04,163.71,36.16,M
109.23,87.92,112.87,150.07,31.51,G
86.37,68.48,92.08,170.01,36.29,P
99.88,79.41,102.58,168.39,33.92,M
107.06,88.62,111.96,159.05,33.82,G
119.75,98.77,124.01,159.41,36.89,GG
77.63,55.35,80.34,165.83,31.07,PP
79.63,56.28,80.6,152.56,34.98,PP
85.83,69.91,94.05,163.03,32.97,P
87.12,67.83,95.47,154.44,33.6,P
86.18,69.4,95.56,177.22,30.83,P
96.35,80.33,102.91,178.44,30.99,M
88.1,70.03,92.13,173.75,31.51,P
106.7,85.76,115.06,157.51,37.04,G
78.32,56.11,83.19,160.45,32.44,PP
97.82,78.64,102.74,162.18,37.29,M
76.05,58.63,84.82,168.78,32.79,PP
106.83,87.13,115.82,174.28,34.13,G
106.63,90.25,114.53,168.85,33.08,G
75.38,58.92,82.79,154.74,32.21,PP
79.92,56.86,83.27,161.79,34.44,PP
86.58,67.79,91.44,157.64,31.18,P
98.33,79.0,104.65,178.41,37.54,M
118.6,97.07,121.18,154.13,36.09,GG
97.35,78.49,103.47,166.54,31.78,M
95.89,78.36,104.32,176.52,34.96,M
94.69,76.63,104.45,153.95,38.37,M
107.24,85.11,113.51,158.57,32.22,G
75.51,60.58,85.15,165.2,38.72,PP
104.64,88.65,111.94,166.99,37.84,G
99.09,78.56,102.0,155.69,37.34,M
89.3,68.91,93.5,158.03,38.81,P
109.97,86.18,112.32,164.3,33.58,G
104.6,86.82,111.29,164.37,31.57,G
108.77,90.64,114.76,168.07,34.12,G
76.86,56.01,83.55,159.52,31.51,PP
78.88,59.21,84.25,151.63,37.78,PP
117.22,100.14,125.1,152.49,36.94,GG
84.03,66.43,92.65,164.3,32.3,P
108.62,85.59,113.72,162.09,32.2,G
105.57,88.81,110.72,168.6,35.59,G
88.38,67.47,94.12,175.7,34.34,P
76.34,58.6,84.47,161.13,35.02,PP
96.28,79.25,105.87,171.39,32.25,M
88.9,69.45,91.35,160.23,37.44,P
118.74,95.86,124.92,165.35,39.63,GG
115.68,95.68,125.46,162.53,32.06,GG
79.93,57.11,80.35,160.73,36.82,PP
94.23,78.35,102.07,170.61,30.89,M
114.55,100.04,121.12,178.77,35.44,GG
77.59,59.86,84.4,175.11,35.81,PP
97.47,80.39,102.74,164.0,31.93,M
119.71,100.27,120.03,175.66,30.13,GG
105.67,90.78,112.59,165.56,37.89,G
75.35,60.53,84.03,173.23,39.71,PP
99.14,75.1,105.13,164.48,36.24,M
118.14,95.81,124.47,168.63,37.0,GG
74.58,56.33,83.39,165.37,31.08,PP
105.02,89.06,115.86,160.37,32.57,G
108.23,88.27,115.98,159.69,33.35,G
74.5,55.66,85.97,164.7,38.84,PP
97.12,75.62,105.33,157.59,35.73,M
77.42,60.4,80.75,159.6,33.85,PP
87.04,69.53,92.55,160.81,38.14,P
88.53,68.77,95.96,178.77,32.37,P
109.48,90.9,110.7,157.92,36.49,G
85.31,68.29,95.13,157.52,39.6,P
89.11,66.9,95.3,151.21,31.8,P
114.59,100.84,124.43,166.61,30.46,GG
115.43,99.34,121.09,160.15,36.06,GG
79.78,57.37,85.04,161.73,37.21,PP
78.71,57.08,82.54,168.71,39.74,PP
104.18,88.37,110.03,152.97,36.22,G
107.09,88.26,111.98,167.68,39.77,G
106.63,86.11,115.94,174.74,36.42,G
74.96,56.21,82.14,162.22,38.84,PP
74.83,57.12,80.15,171.3,37.52,PP
97.03,80.46,100.9,163.69,38.39,M
85.97,65.79,93.44,154.25,31.82,P
79.77,58.88,84.6,166.41,39.24,PP
84.48,65.14,94.43,156.15,38.15,P
99.03,75.24,104.1,168.95,34.84,M
97.16,76.35,102.9,173.33,39.15,M
109.31,88.12,112.39,152.32,37.23,G
84.12,65.14,90.14,163.08,33.33,P
96.94,78.37,104.84,159.12,35.27,M
108.79,87.56,112.72,158.15,39.75,G
119.06,99.14,121.88,171.59,38.23,GG
75.34,58.63,84.48,178.68,38.41,PP
107.02,89.88,112.61,160.89,32.31,G
106.22,90.24,111.68,173.94,37.12,G
86.85,65.97,95.66,150.92,38.9,P
88.86,69.17,91.98,151.73,31.56,P
75.21,59.2,81.86,152.96,32.92,PP
118.07,97.17,125.8,165.81,32.94,GG
106.8,89.21,114.8,169.96,31.12,G
117.15,100.38,122.18,177.53,37.39,GG
74.46,55.13,83.8,167.31,36.51,PP
77.68,58.9,83.85,160.74,33.06,PP
107.73,86.33,110.76,155.12,37.78,G
85.95,70.08,90.36,164.07,30.51,P
96.64,76.27,100.29,156.78,35.83,M
89.89,70.01,93.59,179.69,33.42,P
77.16,58.76,84.02,169.26,38.69,PP
107.43,85.0,112.99,167.53,32.1,G
